Commodity,Year,Attribute,Value
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2012,Consumer weight-Lbs/year,215.1770379
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2013,Consumer weight-Lbs/year,217.0002392
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2014,Consumer weight-Lbs/year,216.5024052
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2015,Consumer weight-Lbs/year,223.7115764
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2016,Consumer weight-Lbs/year,228.5882562
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2017,Consumer weight-Lbs/year,232.6378929
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2018,Consumer weight-Lbs/year,235.2498615
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1970,Edible weight-Lbs/year,209.30521
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1971,Edible weight-Lbs/year,212.8542037
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1972,Edible weight-Lbs/year,211.2889475
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1973,Edible weight-Lbs/year,198.7743187
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1974,Edible weight-Lbs/year,205.5566082
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1975,Edible weight-Lbs/year,199.4320405
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1976,Edible weight-Lbs/year,208.8962685
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1977,Edible weight-Lbs/year,207.6944091
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1978,Edible weight-Lbs/year,206.0183069
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1979,Edible weight-Lbs/year,206.1916264
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1980,Edible weight-Lbs/year,206.6609466
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1981,Edible weight-Lbs/year,206.9849911
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1982,Edible weight-Lbs/year,202.4427998
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1983,Edible weight-Lbs/year,207.267624
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1984,Edible weight-Lbs/year,209.1804894
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1985,Edible weight-Lbs/year,212.5604914
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1986,Edible weight-Lbs/year,211.8036709
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1987,Edible weight-Lbs/year,211.5383938
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1988,Edible weight-Lbs/year,213.5346123
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1989,Edible weight-Lbs/year,210.6683499
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1990,Edible weight-Lbs/year,208.5311411
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1991,Edible weight-Lbs/year,209.6954488
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1992,Edible weight-Lbs/year,213.4292572
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1993,Edible weight-Lbs/year,212.6680015
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1994,Edible weight-Lbs/year,215.3726189
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1995,Edible weight-Lbs/year,214.1684278
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1996,Edible weight-Lbs/year,212.4796212
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1997,Edible weight-Lbs/year,211.3748004
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1998,Edible weight-Lbs/year,217.5907734
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1999,Edible weight-Lbs/year,223.965271
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2000,Edible weight-Lbs/year,222.846912
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2001,Edible weight-Lbs/year,220.5870951
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2002,Edible weight-Lbs/year,227.3956232
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2003,Edible weight-Lbs/year,227.2376102
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2004,Edible weight-Lbs/year,229.5145082
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2005,Edible weight-Lbs/year,227.21355
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2006,Edible weight-Lbs/year,228.6219711
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2007,Edible weight-Lbs/year,227.9252087
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2008,Edible weight-Lbs/year,222.070607
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2009,Edible weight-Lbs/year,218.6374107
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2010,Edible weight-Lbs/year,217.0873831
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2011,Edible weight-Lbs/year,212.1696583
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2012,Edible weight-Lbs/year,211.5218413
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2013,Edible weight-Lbs/year,213.2464263
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2014,Edible weight-Lbs/year,212.6388411
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2015,Edible weight-Lbs/year,219.9806678
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2016,Edible weight-Lbs/year,224.6300461
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2017,Edible weight-Lbs/year,228.5830354
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2018,Edible weight-Lbs/year,231.1147769
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1970,"Total loss, all levels-Percent",46.19011336
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1971,"Total loss, all levels-Percent",46.27407737
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1972,"Total loss, all levels-Percent",45.89698938
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1973,"Total loss, all levels-Percent",45.58512868
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1974,"Total loss, all levels-Percent",45.76481008
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1975,"Total loss, all levels-Percent",45.44308193
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1976,"Total loss, all levels-Percent",45.52803895
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1977,"Total loss, all levels-Percent",45.50523135
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1978,"Total loss, all levels-Percent",45.28862975
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1979,"Total loss, all levels-Percent",45.28650645
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1980,"Total loss, all levels-Percent",45.58015951
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1981,"Total loss, all levels-Percent",45.42901548
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1982,"Total loss, all levels-Percent",45.36796525
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1983,"Total loss, all levels-Percent",45.56643885
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1984,"Total loss, all levels-Percent",45.49436484
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1985,"Total loss, all levels-Percent",45.47803525
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1986,"Total loss, all levels-Percent",45.71059784
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1987,"Total loss, all levels-Percent",46.29518687
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1988,"Total loss, all levels-Percent",46.66864135
