Commodity,Year,Attribute,Value
Grains: Per capita availability adjusted for loss,2021,Retail weight-Lbs/year,169.7021498
Grains: Per capita availability adjusted for loss,2022,Retail weight-Lbs/year,173.7101352
Grains: Per capita availability adjusted for loss,1970,Consumer weight-Lbs/year,120.2998017
Grains: Per capita availability adjusted for loss,1971,Consumer weight-Lbs/year,118.5080055
Grains: Per capita availability adjusted for loss,1972,Consumer weight-Lbs/year,117.1768078
Grains: Per capita availability adjusted for loss,1973,Consumer weight-Lbs/year,120.5536558
Grains: Per capita availability adjusted for loss,1974,Consumer weight-Lbs/year,119.3491652
Grains: Per capita availability adjusted for loss,1975,Consumer weight-Lbs/year,122.0721404
Grains: Per capita availability adjusted for loss,1976,Consumer weight-Lbs/year,126.3390213
Grains: Per capita availability adjusted for loss,1977,Consumer weight-Lbs/year,122.4320551
Grains: Per capita availability adjusted for loss,1978,Consumer weight-Lbs/year,125.7163977
Grains: Per capita availability adjusted for loss,1979,Consumer weight-Lbs/year,126.9505462
Grains: Per capita availability adjusted for loss,1980,Consumer weight-Lbs/year,128.8580226
Grains: Per capita availability adjusted for loss,1981,Consumer weight-Lbs/year,129.0335453
Grains: Per capita availability adjusted for loss,1982,Consumer weight-Lbs/year,128.5576676
Grains: Per capita availability adjusted for loss,1983,Consumer weight-Lbs/year,128.919419
Grains: Per capita availability adjusted for loss,1984,Consumer weight-Lbs/year,131.7348304
Grains: Per capita availability adjusted for loss,1985,Consumer weight-Lbs/year,140.0600115
Grains: Per capita availability adjusted for loss,1986,Consumer weight-Lbs/year,144.3607409
Grains: Per capita availability adjusted for loss,1987,Consumer weight-Lbs/year,151.0105602
Grains: Per capita availability adjusted for loss,1988,Consumer weight-Lbs/year,154.9511206
Grains: Per capita availability adjusted for loss,1989,Consumer weight-Lbs/year,153.6684087
Grains: Per capita availability adjusted for loss,1990,Consumer weight-Lbs/year,159.3243444
Grains: Per capita availability adjusted for loss,1991,Consumer weight-Lbs/year,160.0464291
Grains: Per capita availability adjusted for loss,1992,Consumer weight-Lbs/year,162.2703312
Grains: Per capita availability adjusted for loss,1993,Consumer weight-Lbs/year,166.9271964
Grains: Per capita availability adjusted for loss,1994,Consumer weight-Lbs/year,168.1745936
Grains: Per capita availability adjusted for loss,1995,Consumer weight-Lbs/year,166.8784332
Grains: Per capita availability adjusted for loss,1996,Consumer weight-Lbs/year,173.2057988
Grains: Per capita availability adjusted for loss,1997,Consumer weight-Lbs/year,173.4029684
Grains: Per capita availability adjusted for loss,1998,Consumer weight-Lbs/year,171.4014393
Grains: Per capita availability adjusted for loss,1999,Consumer weight-Lbs/year,172.7337807
Grains: Per capita availability adjusted for loss,2000,Consumer weight-Lbs/year,175.5289978
Grains: Per capita availability adjusted for loss,2001,Consumer weight-Lbs/year,171.7936329
Grains: Per capita availability adjusted for loss,2002,Consumer weight-Lbs/year,168.3890148
Grains: Per capita availability adjusted for loss,2003,Consumer weight-Lbs/year,169.2708548
Grains: Per capita availability adjusted for loss,2004,Consumer weight-Lbs/year,167.8355423
Grains: Per capita availability adjusted for loss,2005,Consumer weight-Lbs/year,168.0208516
Grains: Per capita availability adjusted for loss,2006,Consumer weight-Lbs/year,170.5997676
Grains: Per capita availability adjusted for loss,2007,Consumer weight-Lbs/year,173.2412464
Grains: Per capita availability adjusted for loss,2008,Consumer weight-Lbs/year,172.4324688
Grains: Per capita availability adjusted for loss,2009,Consumer weight-Lbs/year,170.6600936
Grains: Per capita availability adjusted for loss,2010,Consumer weight-Lbs/year,170.8927229
Grains: Per capita availability adjusted for loss,2011,Consumer weight-Lbs/year,151.8335245
